block,variety_ID,cross,plant_ID,treatment,18_05_26,25_05_26,05_06_26,12_06_26,19_06_26,26_06_26,03_07_26,10_07_26,15_07_26,23_07_26,31_07_26,05_08_26
1,1,B3xB4,1,DI,,,,,13,16,23,23,26,51,77,79
1,1,B3xB4,2,DI,5,,,,,,,,,,,
1,1,B3xB4,3,DI,,,,,13,15,23,23,27,51,71,72
1,1,B3xB4,4,DI,,,,,,,,,,,,
1,1,B3xB4,5,DI,,,,,14,19,26,26,29,63,71,77
1,1,B3xB4,6,DI,,,,,,,,,,,,
1,1,B3xB4,7,DI,,,,,14,19,24,24,24,61,72,73
1,1,B3xB4,8,DI,,,,,,,,,,,,
1,1,B3xB4,9,DI,,,,,12,16,25,25,51,62,74,76
1,1,B3xB4,10,DI,,,,,,,,,,,,
1,1,B3xB4,11,DI,,,,,12,18,24,24,26,51,72,73
1,1,B3xB4,12,DI,,,,,,,,,,,,
1,1,B3xB4,13,DI,,,,,,,,,,,,
1,1,B3xB4,14,DI,,,,,,,,,,,,
1,1,B3xB4,15,DI,,,,,,,,,,,,
1,1,B3xB4,16,DI,7,10,15,18,21,28,63,63,72,79,79,79
1,1,B3xB4,17,DI,,,,,,,,,,,,
1,1,B3xB4,18,DI,,,,,12,15,21,21,21,21,22,51
1,1,B3xB4,19,DI,,,,,12,19,23,23,61,72,72,73
1,1,B3xB4,20,DI,,,,,,,,,,,,
1,1,B3xB4,21,DI,,,,,10,10,19,19,21,22,22,24
1,1,B3xB4,22,DI,,,,,,,,,,,,
1,1,B3xB4,23,DI,9,11,15,17,22,29,64,72,72,73,73,75
1,1,B3xB4,24,DI,,10,15/16,17,21,29,66,73,79,79,79,79
1,1,B3xB4,25,DI,5,10,10,10,10,10,,,,,,
1,1,B3xB4,26,DI,9,10,14,15,19,25,51,63,63,62,76,79
1,1,B3xB4,27,DI,,,,,,,,,,,,
1,1,B3xB4,28,DI,,,,,,,,,,,,
1,2,B4xB5,1,DI,,7,,,,,,,,,,
1,2,B4xB5,2,DI,,,,,,,,,,,,
1,2,B4xB5,3,DI,,,,,13,21,29,29,51,,,
1,2,B4xB5,4,DI,,,,,,,,,,,,
1,2,B4xB5,5,DI,7,12,17,21,26,63,77,77,79,79,79,79
1,2,B4xB5,6,DI,,10,14,19,24,51,77,77,79,79,79,79
1,2,B4xB5,7,DI,,,,,,,,,,,,
1,2,B4xB5,8,DI,,,,,,,,,,,,
1,2,B4xB5,9,DI,,,,,,,,,,,,
1,2,B4xB5,10,DI,,,,,13,16,21,26,29,71,72,72
1,2,B4xB5,11,DI,,,,,,,,,,,,
1,2,B4xB5,12,DI,,,,,,,,,,,,
1,2,B4xB5,13,DI,,,,,,,,,,,,
1,2,B4xB5,14,DI,7,12,16,21,25,29,64,75,77,77,78,78
1,2,B4xB5,15,DI,7,10,10,10,17,21,29,29,29,52,71,71
1,2,B4xB5,16,DI,,,,,,,,,,,,
1,2,B4xB5,17,DI,7,10,18,19,24,61,74,74,79,79,79,79
1,2,B4xB5,18,DI,,,,,,,,,,,,
1,2,B4xB5,19,DI,7,7,13,15,19,24,29,62,69,69,79,79
1,2,B4xB5,20,DI,7,9,,,,,,,,,,
1,2,B4xB5,21,DI,,,,,,,,,,,,
1,2,B4xB5,22,DI,7,12,16,21,25,62,64,79,79,79,79,79
1,2,B4xB5,23,DI,,,,,,,,,,,,
1,2,B4xB5,24,DI,,11,16,21,24,63,74,78,79,79,79,79
1,2,B4xB5,25,DI,,,,,,,,,,,,
1,2,B4xB5,26,DI,9,11,15,19,22,28,62,74,77,77,78,78
1,2,B4xB5,27,DI,7,10,14,19,21,28,61,77,75,76,77,77
1,2,B4xB5,28,DI,,7,,,,,,,,,,
1,3,B6xB4,1,DI,,7,,,,,,,,,,
1,3,B6xB4,2,DI,9,10,12,19,19,25,25,61,66,71,72,72
1,3,B6xB4,3,DI,7,,,,,,,,,,,
1,3,B6xB4,4,DI,,9,10,10,10,,,,,,,
1,3,B6xB4,5,DI,,,,,,,,,,,,
1,3,B6xB4,6,DI,7,10,10,10,10,10,,,,,,
1,3,B6xB4,7,DI,,10,15,21,21,29,61,71,71,72,72,73
1,3,B6xB4,8,DI,,,,,13,19,21,21,21,21,,
1,3,B6xB4,9,DI,,10,15,21,23,29,63,71,77,77,79,79
1,3,B6xB4,10,DI,,,,,,,,,,,,
1,3,B6xB4,11,DI,,,,,12,17,19,21,23,23,,
1,3,B6xB4,12,DI,,,,,10,12,14,17,13,12,,
1,3,B6xB4,13,DI,7,9,10,12,16,21,23,29,61,61,71,71
1,3,B6xB4,14,DI,,,10,12,15,21,24,29,51,51,29,51
1,3,B6xB4,15,DI,,,,,13,17,54,21,21,21,21,21
1,3,B6xB4,16,DI,,11,16,21,23,28,26,62,75,76,76,79
1,3,B6xB4,17,DI,7,9,15,17,19,22,26,29,51,51,71,72
1,3,B6xB4,18,DI,,,,,,,,,,,,
1,3,B6xB4,19,DI,7,7,,,13,16,19,21,21,21,21,21
1,3,B6xB4,20,DI,,10,15,16,21,27,21,72,75,77,77,77
1,3,B6xB4,21,DI,,,,,,,,,,,,
1,3,B6xB4,22,DI,,,,,13,19,24,24,22,22,23,24
1,3,B6xB4,23,DI,,10,15,16,21,27,62,73,76,77,77,78
1,3,B6xB4,24,DI,,,,,,,,,,,,
1,3,B6xB4,25,DI,,,,,10,10,,,,,,
1,3,B6xB4,26,DI,9,10,10,10,10,10,10,,,,,
1,3,B6xB4,27,DI,,9,14,16,21,27,61,62,61,71,71,71
1,3,B6xB4,28,DI,9,10,10,10,10,10,10,,,,,
1,4,B4xB6,1,DI,,,,,12,19,21,25,54,72,72,74
1,4,B4xB6,2,DI,,,,,12,19,21,23,25,29,29,72
1,4,B4xB6,3,DI,,,,,12,19,21,25,51,71,72,72
1,4,B4xB6,4,DI,,,,,14,19,21,23,24,61,71,71
1,4,B4xB6,5,DI,,,,,16,16,21,21,21,21,21,21
1,4,B4xB6,6,DI,7,12,17,22,25,53,72,76,76,78,78,79
1,4,B4xB6,7,DI,,,,,12,16,54,21,21,21,21,21
1,4,B4xB6,8,DI,7,11,15,22,24,51,63,79,79,79,79,79
1,4,B4xB6,9,DI,9,12,19,22,23,53,71,75,79,79,79,79
1,4,B4xB6,10,DI,9,12,19,22,25,29,64,74,76,76,77,78
1,4,B4xB6,11,DI,7,11,16,21,24,61,72,75,75,75,76,76
1,4,B4xB6,12,DI,7,10,17,19,22,61,64,76,76,77,77,78
1,4,B4xB6,13,DI,9,11,17,21,25,62,61,74,74,75,75,76
1,4,B4xB6,14,DI,9,12,16,21,23,61,71,79,79,79,79,79
1,4,B4xB6,15,DI,9,12,17,21,24,61,71,77,77,77,77,77
1,4,B4xB6,16,DI,9,10,12,14,21,29,64,29,71,71,72,72
1,4,B4xB6,17,DI,7,10,12,16,21,29,71,75,76,78,78,78
1,4,B4xB6,18,DI,7,9,11,15,19,22,63,24,27,51,71,71
1,4,B4xB6,19,DI,7,11,15,21,23,61,64,79,79,79,79,79
1,4,B4xB6,20,DI,9,11,15,21,25,29,71,72,74,74,74,
1,4,B4xB6,21,DI,9,12,18,22,26,29,63,77,78,79,79,79
1,4,B4xB6,22,DI,7,10,10,10,12,19,71,75,23,21,21,21
1,4,B4xB6,23,DI,7,10,13,19,22,29,61,73,76,76,76,76
1,4,B4xB6,24,DI,9,12,16,21,24,61,65,71,71,72,72,72
1,4,B4xB6,25,DI,9,10,16,19,21,29,61,73,74,77,77,79
1,4,B4xB6,26,DI,7,10,14,19,21,29,62,71,71,71,71,71
1,4,B4xB6,27,DI,7,11,15,21,23,29,71,76,78,78,78,78
1,4,B4xB6,28,DI,7,11,13,19,21,29,65,72,73,73,76,76
2,1,B3xB4,1,DI,,,,,14,19,21,23,24,52,61,62
2,1,B3xB4,2,DI,,,,,,,,,,,,
2,1,B3xB4,3,DI,,11,15,21,24,29,63,74,74,74,74,74
2,1,B3xB4,4,DI,9,10,16,19,24,29,64,77,77,77,77,77
2,1,B3xB4,5,DI,9,10,16,21,24,29,63,75,75,79,79,79
2,1,B3xB4,6,DI,,,,,,,,,,,,
2,1,B3xB4,7,DI,,,,,13,21,21,25,61,61,71,71
2,1,B3xB4,8,DI,,,,,,,,,,,,
2,1,B3xB4,9,DI,,,,,13,21,23,23,23,71,71,71
2,1,B3xB4,10,DI,7,9,10,,,,,,,,,
2,1,B3xB4,11,DI,,,,,,,,,,,,
2,1,B3xB4,12,DI,,,,,,,,,,,,
2,1,B3xB4,13,DI,,9,12,14,16,22,25,63,72,72,79,79
2,1,B3xB4,14,DI,,,,,,,,,,,,
2,1,B3xB4,15,DI,,,,,,,,,,,,
2,1,B3xB4,16,DI,,10,15,19,21,27,62,76,76,78,78,79
2,1,B3xB4,17,DI,,10,,,13,21,26,21,21,21,21,21
2,1,B3xB4,18,DI,,,,,,,,,,,,
2,1,B3xB4,19,DI,9,10,14,16,23,29,62,64,71,71,75,75
2,1,B3xB4,20,DI,,11,15,21,24,29,71,75,75,75,75,76
2,1,B3xB4,21,DI,,,,,,,,,,,,
2,1,B3xB4,22,DI,9,11,17,21,26,29,65,72,72,74,75,79
2,1,B3xB4,23,DI,,,,,,,,,,,,
2,1,B3xB4,24,DI,9,11,14,18,22,29,62,74,74,74,74,75
2,1,B3xB4,25,DI,,,,,,,,,,,,
2,1,B3xB4,26,DI,10,11,14,18,21,25,26,62,71,73,73,75
2,1,B3xB4,27,DI,,,,,,,,,,,,
2,1,B3xB4,28,DI,,,,,12,13,14,17,17,13,21,21
2,2,B4xB5,1,DI,,,,,13,18,21,22,54,61,71,74
2,2,B4xB5,2,DI,,,,,,,,,,,,
2,2,B4xB5,3,DI,7,,,,,,,,,,,
2,2,B4xB5,4,DI,,,,,13,19,22,24,62,75,75,75
2,2,B4xB5,5,DI,,,,,,,,,,,,
2,2,B4xB5,6,DI,,,,,13,15,21,21,21,62,72,72
2,2,B4xB5,7,DI,,,,,,,,,,,,
2,2,B4xB5,8,DI,,,,,,,,,,,,
2,2,B4xB5,9,DI,,9,13,16,21,29,42,54,71,74,74,74
2,2,B4xB5,10,DI,7,11,19,21,26,29,64,74,74,75,75,76
2,2,B4xB5,11,DI,7,,,,,,,,,,,
2,2,B4xB5,12,DI,,,,,11,11,16,21,21,21,21,22
2,2,B4xB5,13,DI,,,,,,,,,,,,
2,2,B4xB5,14,DI,7,7,,,,,,,,,,
2,2,B4xB5,15,DI,,,,,,,,,,,,
2,2,B4xB5,16,DI,,,,,,,,,,,,
2,2,B4xB5,17,DI,,,,,,,,,,,,
2,2,B4xB5,18,DI,,,,,,,,,,,,
2,2,B4xB5,19,DI,9,11,15,21,24,29,62,75,75,79,79,79
2,2,B4xB5,20,DI,,,,,,,,,,,,
2,2,B4xB5,21,DI,,,,,,,,,,,,
2,2,B4xB5,22,DI,,,,,,,,,,,,
2,2,B4xB5,23,DI,9,11,19,21,25,62,72,79,79,79,79,79
2,2,B4xB5,24,DI,,,,,,,,,,,,
2,2,B4xB5,25,DI,,,,,,,,,,,,
2,2,B4xB5,26,DI,9,11,18,21,24,29,64,78,78,78,78,78
2,2,B4xB5,27,DI,7,10,18,21,24,29,71,79,79,79,79,79
2,2,B4xB5,28,DI,,,,,,,,,,,,
2,3,B6xB4,1,DI,7,,,,13,21,21,26,26,71,71,72
2,3,B6xB4,2,DI,,,,,,,,,,,,
2,3,B6xB4,3,DI,,,,,14,21,27,29,29,71,71,71
2,3,B6xB4,4,DI,9,10,16,19,22,27,62,71,76,79,79,79
2,3,B6xB4,5,DI,,,,,,,,,,,,
2,3,B6xB4,6,DI,,,,,14,19,19,21,21,51,21,22
2,3,B6xB4,7,DI,9,10,15,21,23,29,65,75,76,79,79,79
2,3,B6xB4,8,DI,7,7,,,,,,,,,,
2,3,B6xB4,9,DI,,10,15,21,23,29,51,74,74,74,74,74
2,3,B6xB4,10,DI,,12,19,21,25,29,63,76,79,79,79,79
2,3,B6xB4,11,DI,9,11,16,21,25,29,63,73,79,79,79,79
2,3,B6xB4,12,DI,,,,,,,,,,,,
2,3,B6xB4,13,DI,,,,,13,16,22,22,22,51,51,51
2,3,B6xB4,14,DI,,,,,,,,,,,,
2,3,B6xB4,15,DI,,10,15,19,21,29,65,61,61,61,71,72
2,3,B6xB4,16,DI,,,,,,,,,,,,
2,3,B6xB4,17,DI,,11,16,21,25,29,63,77,79,79,79,79
2,3,B6xB4,18,DI,,10,16,21,23,29,64,77,79,79,79,79
2,3,B6xB4,19,DI,,,,,,,,,,,,
2,3,B6xB4,20,DI,,10,15,18,21,29,56,71,72,76,76,76
2,3,B6xB4,21,DI,10,12,16,21,24,29,64,72,74,74,74,74
2,3,B6xB4,22,DI,9,12,16,21,23,29,63,72,74,74,74,74
2,3,B6xB4,23,DI,9,10,17,19,22,29,61,72,72,72,72,72
2,3,B6xB4,24,DI,,,,,,,,,,,,
2,3,B6xB4,25,DI,,,,,13,18,21,24,29,51,51,51
2,3,B6xB4,26,DI,,,,,14,17,21,23,24,51,71,73
2,3,B6xB4,27,DI,,,,,,,,,,,,
2,3,B6xB4,28,DI,7,10,10,10,,,,,,,,
2,4,B4xB6,1,DI,,,,,12,19,73,76,76,21,21,21
2,4,B4xB6,2,DI,9,12,19,22,25,51,66,69,71,79,79,79
2,4,B4xB6,3,DI,,10,15,19,22,62,71,77,77,73,73,74
2,4,B4xB6,4,DI,,11,19,21,24,62,73,74,74,74,75,77
2,4,B4xB6,5,DI,,,,,13,19,21,22,22,,,
2,4,B4xB6,6,DI,7,12,18,21,24,61,73,74,74,74,75,75
2,4,B4xB6,7,DI,,,,,,,,,,,,
2,4,B4xB6,8,DI,,,,,13,21,21,21,21,61,71,71
2,4,B4xB6,9,DI,,,,,,,,,,,,
2,4,B4xB6,10,DI,7,11,18,22,26,63,73,76,76,79,79,79
2,4,B4xB6,11,DI,,,,,13,19,76,77,77,21,21,21
2,4,B4xB6,12,DI,,,,,13,21,23,23,23,71,72,72
2,4,B4xB6,13,DI,,,,,,,,,,,,
2,4,B4xB6,14,DI,,,,,13,21,64,72,74,,,71
2,4,B4xB6,15,DI,,,,,,,,,,,,
2,4,B4xB6,16,DI,9,12,19,23,25,29,73,74,74,79,79,79
2,4,B4xB6,17,DI,9,11,19,21,25,61,73,74,74,74,74,74
2,4,B4xB6,18,DI,9,12,19,22,25,61,74,76,76,76,76,76
2,4,B4xB6,19,DI,,,,,13,21,21,25,25,21,21,21
2,4,B4xB6,20,DI,,11,19,22,26,29,72,74,74,76,76,76
2,4,B4xB6,21,DI,,11,18,21,24,62,73,76,76,76,76,76
2,4,B4xB6,22,DI,7,11,19,21,25,62,72,79,79,79,79,79
2,4,B4xB6,23,DI,9,11,17,21,25,61,72,74,74,76,76,76
2,4,B4xB6,24,DI,9,12,19,21,24,61,71,75,75,75,75,75
2,4,B4xB6,25,DI,9,11,17,21,24,62,72,72,74,78,78,78
2,4,B4xB6,26,DI,9,11,19,21,24,61,71,75,75,75,75,75
2,4,B4xB6,27,DI,,,,,13,19,21,22,22,21,21,21
2,4,B4xB6,28,DI,9,12,18,22,25,64,74,78,79,79,79,79
3,1,B3xB4,1,DI,,10,16,19,23,29,65,71,72,72,72,79
3,1,B3xB4,2,DI,,,,,,,,,,,,
3,1,B3xB4,3,DI,,,,,13,21,23,24,52,24,71,71
3,1,B3xB4,4,DI,,,,,,,,,,,,
3,1,B3xB4,5,DI,,,,,,,,,,,,
3,1,B3xB4,6,DI,,,,,,,,,,,,
3,1,B3xB4,7,DI,,,,,14,18,21,24,24,52,71,71
3,1,B3xB4,8,DI,,,,,,,,,,,,
3,1,B3xB4,9,DI,,,,,,,,,,,,
3,1,B3xB4,10,DI,,,,,,,,,,,,
3,1,B3xB4,11,DI,,,,,,,,,,,,
3,1,B3xB4,12,DI,,,,,,,,,,,,
3,1,B3xB4,13,DI,,,,,,,,,,,,
3,1,B3xB4,14,DI,,,,,14,19,21,26,61,51,71,71
3,1,B3xB4,15,DI,,,,,13,16,21,21,21,22,53,52
3,1,B3xB4,16,DI,,,,,,,,,,,,
3,1,B3xB4,17,DI,,,,,10,10,10,,,,,
3,1,B3xB4,18,DI,,,,,,,,,,,,
3,1,B3xB4,19,DI,,,,,10,10,,,,,,
3,1,B3xB4,20,DI,,,,,,,,,,,,
3,1,B3xB4,21,DI,,11,15,19,23,29,61,71,71,72,72,79
3,1,B3xB4,22,DI,7,,,,,,,,,,,
3,1,B3xB4,23,DI,,,,,10,12,13,,,,,
3,1,B3xB4,24,DI,,,,,,,,,,,,
3,1,B3xB4,25,DI,,10,15,21,23,29,62,64,73,73,73,79
3,1,B3xB4,26,DI,,,,,,,,,,,,
3,1,B3xB4,27,DI,,10,15,21,25,29,62,78,78,78,78,79
3,1,B3xB4,28,DI,,11,,,,,,,,,,
3,2,B4xB5,1,DI,,,,,,,,,,,,
3,2,B4xB5,2,DI,,,,,12,16,21,24,52,62,72,74
3,2,B4xB5,3,DI,,,,,,,,,,,,
3,2,B4xB5,4,DI,,,,,,,,,,,,
3,2,B4xB5,5,DI,,,,,13,21,21,26,61,71,71,77
3,2,B4xB5,6,DI,,,,,,,,,,,,
3,2,B4xB5,7,DI,,,,,,,,,,,,
3,2,B4xB5,8,DI,,,,,,,,,,,,
3,2,B4xB5,9,DI,,,,,,,,,,,,
3,2,B4xB5,10,DI,7,9,,,,,,,,,,
3,2,B4xB5,11,DI,,7,,,12,16,21,,,,,78
3,2,B4xB5,12,DI,,,,,,,,,,,,
3,2,B4xB5,13,DI,,,,,,,,,,,,
3,2,B4xB5,14,DI,,10,,,,,,,,,,
3,2,B4xB5,15,DI,9,,15,16,23,29,72,74,75,75,75,79
3,2,B4xB5,16,DI,,,,,,,,,,,,
3,2,B4xB5,17,DI,,,,,,,,,,,,
3,2,B4xB5,18,DI,,,,,13,19,21,26,61,72,72,77
3,2,B4xB5,19,DI,,,,,,,,,,,,
3,2,B4xB5,20,DI,,,,,,,,,,,,
3,2,B4xB5,21,DI,,,,,14,21,22,26,53,62,72,78
3,2,B4xB5,22,DI,,,,,,,,,,,,
3,2,B4xB5,23,DI,,,,,,,,,,,,
3,2,B4xB5,24,DI,7,,,,11,15,21,64,26,63,63,75
3,2,B4xB5,25,DI,,,,,,,,,,,,
3,2,B4xB5,26,DI,,,,,,,,,,,,
3,2,B4xB5,27,DI,,,,,,,,,,,,
3,2,B4xB5,28,DI,,,,,,,,,,,,
3,3,B6xB4,1,DI,,,,,13,19,21,26,56,61,71,73
3,3,B6xB4,2,DI,,,,,,,,,,,,
3,3,B6xB4,3,DI,,,,,12,19,21,24,52,61,61,72
3,3,B6xB4,4,DI,,,,,,,,,,,,
3,3,B6xB4,5,DI,,,,,13,17,21,21,21,21,21,21
3,3,B6xB4,6,DI,9,12,16,21,24,29,71,75,76,76,76,79
3,3,B6xB4,7,DI,,,,,,,,,,,,
3,3,B6xB4,8,DI,,,,,13,19,21,25,51,53,61,72
3,3,B6xB4,9,DI,,,,,,,,,,,,
3,3,B6xB4,10,DI,,,,,13,19,21,26,61,62,71,72
3,3,B6xB4,11,DI,,11,15,21,24,29,71,79,79,79,79,79
3,3,B6xB4,12,DI,,,,,,,,,,,,
3,3,B6xB4,13,DI,,,,,12,19,21,24,52,24,24,61
3,3,B6xB4,14,DI,,,,,,,,,,,,
3,3,B6xB4,15,DI,,,,,12,19,21,24,71,61,61,71
3,3,B6xB4,16,DI,,,,,,,,,,,,
3,3,B6xB4,17,DI,,,,,13,19,21,24,24,61,61,71
3,3,B6xB4,18,DI,,,,,,,,,,,,
3,3,B6xB4,19,DI,7,,,,,,,,,,,
3,3,B6xB4,20,DI,,,,,,,,,,,,
3,3,B6xB4,21,DI,9,11,19,21,25,29,71,79,79,79,79,79
3,3,B6xB4,22,DI,,,,,,,,,,,,
3,3,B6xB4,23,DI,,,,,13,21,22,25,23,25,25,52
3,3,B6xB4,24,DI,,,,,,,,,,,,
3,3,B6xB4,25,DI,,,,,,,,,,,,
3,3,B6xB4,26,DI,,,,,10,10,14,16,21,21,21,51
3,3,B6xB4,27,DI,,,,,13,21,21,25,61,51,71,74
3,3,B6xB4,28,DI,,,,,,,,,,,,
3,4,B4xB6,1,DI,9,12,19,19,23,63,71,79,79,79,79,79
3,4,B4xB6,2,DI,9,12,19,21,26,62,73,69,75,75,75,79
3,4,B4xB6,3,DI,,,,,14,16,16,17,17,17,21,21
3,4,B4xB6,4,DI,,12,17,19,21,26,29,54,,74,74,79
3,4,B4xB6,5,DI,9,11,15,19,19,28,63,73,73,73,73,75
3,4,B4xB6,6,DI,9,11,16,19,21,29,62,74,75,75,75,79
3,4,B4xB6,7,DI,,,,,13,18,19,21,21,,,
3,4,B4xB6,8,DI,,10,17,21,23,29,71,76,76,76,76,76
3,4,B4xB6,9,DI,,,,,13,19,22,24,71,71,71,79
3,4,B4xB6,10,DI,,,,,,,,,,,,
3,4,B4xB6,11,DI,,9,14,21,24,29,42,79,79,79,79,79
3,4,B4xB6,12,DI,,,,,13,19,23,21,21,61,21,21
3,4,B4xB6,13,DI,,,,,12,19,21,24,24,71,71,71
3,4,B4xB6,14,DI,,,,,,,,,,,,
3,4,B4xB6,15,DI,9,12,16,21,24,29,72,79,79,79,79,79
3,4,B4xB6,16,DI,,,,,,,,,,,,
3,4,B4xB6,17,DI,,11,19,21,24,29,72,76,76,76,76,76
3,4,B4xB6,18,DI,7,11,19,21,26,61,71,78,79,79,79,79
3,4,B4xB6,19,DI,,,,,,,,,,,,
3,4,B4xB6,20,DI,9,12,19,22,26,61,73,79,79,79,79,79
3,4,B4xB6,21,DI,,,,,,,,,,,,
3,4,B4xB6,22,DI,,,,,13,19,21,21,21,21,21,21
3,4,B4xB6,23,DI,,,,,13,19,21,21,21,51,51,51
3,4,B4xB6,24,DI,,,,,,,,,,,,
3,4,B4xB6,25,DI,9,11,16,21,25,62,75,76,77,77,77,78
3,4,B4xB6,26,DI,9,11,16,21,24,29,66,76,76,76,76,76
3,4,B4xB6,27,DI,9,12,19,21,24,61,71,77,77,77,77,77
3,4,B4xB6,28,DI,7,11,19,19,23,29,71,79,79,79,79,79
